NR;NR_X;TIME;SEX;AgeGroup;COUNTRY_HDI
1;;2021;F;TOTAL;ET
1;;2021;F;TOTAL;GN
1;;2021;F;TOTAL;RW
1;;2021;F;TOTAL;SD
1;;2021;F;TOTAL;SN
1;;2021;F;TOTAL;SO
1;;2021;F;Y15-64;ET
1;;2021;F;Y15-64;GN
1;;2021;F;Y15-64;RW
1;;2021;F;Y15-64;SD
1;;2021;F;Y15-64;SN
1;;2021;F;Y15-64;SO
1;;2021;M;TOTAL;BF
1;;2021;M;TOTAL;BI
1;;2021;M;TOTAL;LR
1;;2021;M;TOTAL;ML
1;;2021;M;TOTAL;MZ
1;;2021;M;TOTAL;ET
1;;2021;M;TOTAL;RW
1;;2021;M;TOTAL;SL
1;;2021;M;TOTAL;TG
1;;2021;M;Y_GE65;CD
1;;2021;M;Y_GE65;PK
1;;2021;M;Y_GE65;SD
1;;2021;M;Y0-14;AF
1;;2021;M;Y0-14;MZ
1;;2021;M;Y15-64;BF
1;;2021;M;Y15-64;BI
1;;2021;M;Y0-14;TZ
1;;2021;M;Y15-64;LR
1;;2021;M;Y15-64;ML
1;;2021;M;Y15-64;ET
1;;2021;M;Y15-64;RW
1;;2021;M;Y15-64;SL
1;;2021;M;Y15-64;TG
1;;2021;T;TOTAL;BF
1;;2021;T;TOTAL;BI
1;;2021;T;TOTAL;LR
1;;2021;T;TOTAL;ML
1;;2021;T;TOTAL;MZ
1;;2021;T;TOTAL;SL
1;;2021;T;TOTAL;TG
1;;2021;T;Y_GE65;CD
1;;2021;T;Y_GE65;PK
1;;2021;T;Y_GE65;SD
1;;2021;T;Y0-14;MZ
1;;2021;T;Y0-14;TZ
1;;2021;T;Y15-64;BF
1;;2021;T;Y15-64;BI
1;;2021;T;Y15-64;LR
1;;2021;T;Y15-64;ML
1;;2021;T;Y15-64;SL
1;;2021;T;Y15-64;TG
1;;2022;F;TOTAL;ET
1;;2022;F;TOTAL;GN
1;;2022;F;TOTAL;SD
1;;2022;F;TOTAL;SN
1;;2022;F;TOTAL;SO
1;;2022;F;TOTAL;TZ
1;;2022;F;TOTAL;YE
1;;2022;F;Y15-64;ET
1;;2022;F;Y15-64;GN
1;;2022;F;Y15-64;SD
1;;2022;F;Y15-64;SN
1;;2022;F;Y15-64;SO
1;;2022;M;TOTAL;BF
1;;2022;M;TOTAL;BI
1;;2022;F;Y15-64;TZ
1;;2022;F;Y15-64;YE
1;;2022;M;TOTAL;LR
1;;2022;M;TOTAL;MZ
1;;2022;M;TOTAL;NE
1;;2022;M;Y_GE65;CD
1;;2022;M;Y_GE65;CI
1;;2022;M;Y_GE65;PK
1;;2022;M;Y_GE65;SD
1;;2022;M;Y0-14;MZ
1;;2022;M;Y0-14;TZ
1;;2022;M;Y15-64;BF
1;;2022;M;Y15-64;BI
1;;2022;M;Y15-64;LR
1;;2022;M;Y15-64;NE
1;;2022;T;TOTAL;BF
1;;2022;T;TOTAL;BI
1;;2022;T;TOTAL;ET
1;;2022;T;TOTAL;LR
1;;2022;T;TOTAL;MZ
1;;2022;T;TOTAL;NE
1;;2022;T;Y_GE65;CD
1;;2022;T;Y_GE65;CI
1;;2022;T;Y_GE65;PK
1;;2022;T;Y_GE65;SD
1;;2022;T;Y0-14;MZ
1;;2022;T;Y0-14;TZ
1;;2022;T;Y15-64;BF
1;;2022;T;Y15-64;BI
1;;2022;T;Y15-64;ET
1;;2022;T;Y15-64;LR
1;;2022;T;Y15-64;NE
1;;2023;F;TOTAL;ET
1;;2023;F;TOTAL;GN
1;;2023;F;TOTAL;SD
1;;2023;F;TOTAL;SN
1;;2023;F;TOTAL;SO
1;;2023;F;TOTAL;TZ
1;;2023;F;TOTAL;YE
1;;2023;F;Y_GE65;AF
1;;2023;F;Y_GE65;TOTAL_HDI_L
1;;2023;F;Y0-14;PK
1;;2023;F;Y15-64;ET
1;;2023;F;Y15-64;GN
1;;2023;F;Y15-64;SD
1;;2023;F;Y15-64;SN
1;;2023;F;Y15-64;SO
1;;2023;F;Y15-64;TZ
1;;2023;F;Y15-64;YE
1;;2023;M;TOTAL;BF
1;;2023;M;TOTAL;BI
1;;2023;M;TOTAL;ET
1;;2023;M;TOTAL;LR
1;;2023;M;TOTAL;ML
1;;2023;M;TOTAL;MZ
1;;2023;M;TOTAL;SS
1;;2023;M;Y_GE65;AF
1;;2023;M;Y_GE65;CD
1;;2023;M;Y_GE65;PK
1;;2023;M;Y_GE65;SD
1;;2023;M;Y0-14;MZ
1;;2023;M;Y0-14;TZ
1;;2023;M;Y15-64;BF
1;;2023;M;Y15-64;BI
1;;2023;M;Y15-64;ET
1;;2023;M;Y15-64;LR
1;;2023;M;Y15-64;ML
1;;2023;M;Y15-64;SS
1;;2023;T;TOTAL;BF
1;;2023;T;TOTAL;BI
1;;2023;T;TOTAL;LR
1;;2023;T;TOTAL;ML
1;;2023;T;TOTAL;MZ
1;;2023;T;TOTAL;SS
1;;2023;T;Y_GE65;CD
1;;2023;T;Y_GE65;PK
1;;2023;T;Y_GE65;SD
1;;2023;T;Y0-14;MZ
1;;2023;T;Y0-14;TZ
1;;2023;T;Y15-64;BF
1;;2023;T;Y15-64;BI
1;;2023;T;Y15-64;LR
1;;2023;T;Y15-64;ML
1;;2023;T;Y15-64;SS
1;;2024;F;TOTAL;RW
1;;2024;F;TOTAL;SD
1;;2024;F;TOTAL;TZ
1;;2024;F;Y0-14;NG
1;;2024;F;TOTAL;GN
1;;2024;F;Y15-64;RW
1;;2024;F;Y15-64;SD
1;;2024;F;Y15-64;GN
1;;2024;F;Y15-64;TZ
1;;2024;M;TOTAL;BF
1;;2024;M;TOTAL;LR
1;;2024;M;TOTAL;MG
1;;2024;M;TOTAL;MZ
1;;2024;M;TOTAL;RW
1;;2024;M;TOTAL;SL
1;;2024;M;TOTAL;TG
1;;2024;M;Y_GE65;CD
1;;2024;M;Y_GE65;PK
1;;2024;M;Y_GE65;SD
1;;2024;M;Y0-14;BI
1;;2024;M;Y0-14;NG
1;;2024;M;Y0-14;TZ
1;;2024;M;Y15-64;BF
1;;2024;M;Y15-64;LR
1;;2024;M;Y15-64;MG
1;;2024;M;Y15-64;MZ
1;;2024;M;Y15-64;RW
1;;2024;M;Y15-64;SL
1;;2024;M;Y15-64;TG
1;;2024;T;TOTAL;BF
1;;2024;T;TOTAL;LR
1;;2024;T;TOTAL;MG
1;;2024;T;TOTAL;MZ
1;;2024;T;TOTAL;SL
1;;2024;T;TOTAL;TG
1;;2024;T;Y_GE65;CD
1;;2024;T;Y_GE65;PK
1;;2024;T;Y_GE65;SD
1;;2024;T;Y0-14;BI
1;;2024;T;Y0-14;TZ
1;;2024;T;Y15-64;BF
1;;2024;T;Y15-64;LR
1;;2024;T;Y15-64;MG
1;;2024;T;Y15-64;MZ
1;;2024;T;Y15-64;SL
1;;2024;T;Y15-64;TG
2;;2024;T;Y15-64;RW
2;;2024;T;Y15-64;DJ
2;;2024;T;Y15-64;BI
2;;2024;T;Y0-14;NG
2;;2024;T;TOTAL;RW
2;;2024;T;TOTAL;DJ
2;;2024;M;Y15-64;DJ
2;;2024;M;Y15-64;BI
2;;2024;M;TOTAL;DJ
2;;2024;F;Y15-64;YE
2;;2024;F;Y15-64;SN
2;;2024;F;Y15-64;SO
2;;2024;F;Y15-64;ER
2;;2024;F;TOTAL;YE
2;;2024;F;Y_GE65;AF
2;;2024;F;Y_GE65;TOTAL_HDI_L
2;;2024;F;TOTAL;SN
2;;2024;F;TOTAL;SO
2;;2024;F;TOTAL;ER
2;;2023;T;Y_GE65;AF
2;;2023;T;Y15-64;RW
2;;2023;T;Y15-64;DJ
2;;2023;T;Y15-64;ET
2;;2023;T;TOTAL;ET
2;;2023;T;TOTAL;RW
2;;2023;T;TOTAL;DJ
2;;2023;M;Y15-64;RW
2;;2023;M;Y15-64;DJ
2;;2023;M;TOTAL;RW
2;;2023;M;TOTAL;DJ
2;;2023;F;Y15-64;CD
2;;2023;F;Y15-64;ER
2;;2023;F;TOTAL;CD
2;;2023;F;TOTAL;ER
2;;2022;T;Y15-64;RW
2;;2022;T;Y15-64;ML
2;;2022;T;Y15-64;GM
2;;2022;T;Y15-64;DJ
2;;2022;T;TOTAL;RW
2;;2022;T;TOTAL;ML
2;;2022;T;TOTAL;GM
2;;2022;T;TOTAL;DJ
2;;2022;M;Y15-64;RW
2;;2022;M;Y15-64;SN
2;;2022;M;Y15-64;ML
2;;2022;M;Y15-64;DJ
2;;2022;M;Y15-64;GM
2;;2022;M;TOTAL;SN
2;;2022;M;TOTAL;RW
2;;2022;F;Y15-64;ER
2;;2022;M;TOTAL;ML
2;;2022;M;TOTAL;GM
2;;2022;M;TOTAL;DJ
2;;2022;F;Y0-14;PK
2;;2022;F;TOTAL;ER
2;;2021;T;Y15-64;RW
2;;2021;T;Y15-64;DJ
2;;2021;T;Y15-64;ET
2;;2021;T;TOTAL;RW
2;;2021;T;TOTAL;DJ
2;;2021;T;TOTAL;ET
2;;2021;M;Y15-64;DJ
2;;2021;F;Y15-64;ER
2;;2021;M;TOTAL;DJ
2;;2021;F;TOTAL;ER
2;;2021;F;Y0-14;PK
3;;2021;M;TOTAL;BJ
3;;2021;M;Y15-64;BJ
3;;2021;M;Y15-64;CD
3;;2021;M;Y_GE65;TOTAL_HDI_L
3;;2021;M;TOTAL;YE
3;;2021;M;TOTAL;SO
3;;2021;M;TOTAL;GM
3;;2021;T;TOTAL;GM
3;;2021;T;TOTAL;BJ
3;;2021;M;Y15-64;SO
3;;2021;M;Y15-64;YE
3;;2021;M;Y15-64;SD
3;;2021;M;Y15-64;GM
3;;2021;T;Y15-64;GM
3;;2021;T;Y15-64;BJ
3;;2021;T;Y15-64;CD
3;;2021;T;Y_GE65;TOTAL_HDI_L
3;;2021;T;Y15-64;YE
3;;2021;T;TOTAL;YE
3;;2022;M;TOTAL;SL
3;;2022;M;TOTAL;YE
3;;2022;M;Y15-64;SD
3;;2022;M;Y15-64;SL
3;;2022;M;Y15-64;TZ
3;;2022;M;Y15-64;YE
3;;2022;T;TOTAL;SL
3;;2022;T;TOTAL;SN
3;;2022;T;Y15-64;SL
3;;2022;T;Y15-64;SN
3;;2023;M;TOTAL;GM
3;;2023;M;TOTAL;SL
3;;2023;M;Y15-64;GM
3;;2023;M;Y15-64;SD
3;;2023;M;Y15-64;SL
